survey_id,encounter_id,likelihood_to_recommend,staff_communication,cleanliness,overall,comments
S403208,E002953,4,3,5,3,
S947817,E007004,8,1,2,2,Facilities need improvement
S625349,E004536,8,3,2,4,Nurse was helpful
S515249,E003732,4,3,3,5,Nurse was helpful
S955787,E002821,8,2,4,1,Great care
S299683,E003316,6,4,1,3,Long wait time
S006835,E002583,1,1,3,5,Facilities need improvement
S015889,E007077,1,3,1,5,Long wait time
S313603,E007580,5,1,2,5,Nurse was helpful
S486934,E003628,4,1,3,3,Facilities need improvement
S328396,E005587,3,4,5,3,Facilities need improvement
S689987,E002146,2,1,4,4,Nurse was helpful
S696962,E004678,9,1,2,2,Great care
S360290,E002203,7,1,1,2,Facilities need improvement
S121838,E002713,3,5,3,5,Great care
S081692,E002375,4,1,2,3,Nurse was helpful
S184574,E005069,4,5,5,3,Facilities need improvement
S428581,E000639,7,2,4,1,Doctor explained well
S461464,E004149,5,5,4,4,Great care
S471361,E006752,2,5,3,3,
S079026,E004490,4,4,2,4,
S816256,E005686,7,3,4,3,Long wait time
S442755,E002039,5,2,3,2,
S922298,E007324,2,3,4,5,Great care
S533151,E005414,2,4,1,3,Great care
S873494,E000306,5,1,5,4,Long wait time
S404975,E001827,8,5,1,4,
S263718,E005158,1,5,5,2,Facilities need improvement
S120760,E000934,7,2,4,3,Nurse was helpful
S037716,E002723,10,1,3,5,Great care
S717992,E007795,6,5,2,3,Doctor explained well
S562395,E006124,10,1,5,3,
S532010,E005977,10,1,1,1,Great care
S308897,E004417,3,4,3,2,
S867733,E001227,4,5,3,3,Long wait time
S029640,E000273,2,4,3,4,Long wait time
S395585,E004925,5,1,1,4,Facilities need improvement
S806863,E004287,1,5,3,2,Great care
S051356,E000695,2,4,1,5,Facilities need improvement
S261476,E005746,3,5,1,1,Great care
S553445,E004415,9,3,2,4,Facilities need improvement
S506674,E000338,9,2,1,4,
S074343,E002348,7,3,2,5,Doctor explained well
S542115,E005144,6,2,2,4,Facilities need improvement
S624230,E006309,6,3,5,4,Doctor explained well
S162100,E002901,9,4,3,5,Great care
S052975,E001152,0,2,5,2,
S801892,E005292,4,5,1,3,Nurse was helpful
S534674,E003266,2,1,3,2,Doctor explained well
S720935,E007846,7,3,5,2,Great care
S313376,E007600,8,4,4,1,Long wait time
S585898,E004913,8,4,4,1,Long wait time
S000492,E000412,0,5,3,5,Nurse was helpful
S549264,E002914,2,2,1,2,
S432306,E007215,3,5,5,1,Doctor explained well
S471083,E003787,1,1,5,3,
S511754,E000959,6,2,1,4,Long wait time
S856434,E004927,7,2,3,2,Doctor explained well
S854951,E004332,8,5,1,4,Great care
S168095,E000174,0,1,5,5,Nurse was helpful
S951362,E003821,10,1,2,5,Great care
S965115,E000947,8,2,2,2,Facilities need improvement
S932398,E003934,1,5,2,4,Facilities need improvement
S487123,E003350,5,2,2,1,Nurse was helpful
S350706,E002240,3,3,3,4,
S709009,E001479,2,1,2,5,Facilities need improvement
S651234,E001475,9,3,3,1,Great care
S628167,E002824,10,3,3,3,Great care
S441848,E000911,1,3,3,1,Nurse was helpful
S009419,E002352,3,1,2,3,
S346546,E000184,6,4,4,4,Long wait time
S119343,E004103,6,4,3,4,Long wait time
S488215,E005613,4,5,2,5,Nurse was helpful
S947248,E004869,8,1,1,5,Great care
S353025,E006928,3,5,2,5,Nurse was helpful
S635893,E000739,1,3,3,1,Long wait time
S256661,E006085,2,2,3,5,Doctor explained well
S945941,E001659,2,3,5,4,Nurse was helpful
S146165,E004601,10,4,1,4,Great care
S678020,E005249,6,2,4,4,Facilities need improvement
S928785,E002035,4,3,3,3,
S136195,E002281,10,4,3,4,Doctor explained well
S432202,E007823,2,5,5,5,
S148306,E007860,2,2,2,5,Great care
S518772,E007766,8,5,5,4,Nurse was helpful
S833040,E007820,5,5,2,3,Great care
S193695,E003273,7,3,4,1,Long wait time
S270426,E005180,9,4,5,1,Long wait time
S098043,E000210,5,4,1,2,Nurse was helpful
S823162,E001231,4,2,4,4,Doctor explained well
S026583,E000292,6,4,5,4,
S957259,E001089,3,3,4,4,Long wait time
S608747,E002849,3,5,4,2,Doctor explained well
S018864,E007377,8,4,1,3,Nurse was helpful
S880096,E000399,8,5,1,1,
S729762,E001593,10,2,2,2,Facilities need improvement
S441958,E001557,10,4,5,2,Long wait time
S167405,E005252,8,4,5,3,Long wait time
S399891,E003462,6,3,3,1,Long wait time
S520207,E000909,0,1,3,5,Long wait time
S054619,E007785,1,2,2,1,Long wait time
S197595,E006176,8,3,2,1,Long wait time
S554725,E001534,6,1,4,2,Nurse was helpful
S798614,E001375,3,5,2,1,Facilities need improvement
S598088,E003166,2,4,2,4,Great care
S689045,E007512,0,3,1,3,Long wait time
S794470,E005255,8,3,3,4,
S994005,E003015,7,3,2,5,Great care
S375888,E007346,0,4,4,3,Long wait time
S492629,E002187,9,5,2,1,Facilities need improvement
S658391,E007441,3,5,4,2,Nurse was helpful
S987251,E004090,5,3,4,5,Long wait time
S059775,E002879,9,1,4,5,Long wait time
S313768,E005861,2,3,3,2,Great care
S802939,E007130,10,1,5,3,
S776520,E002465,3,1,2,2,Doctor explained well
S442109,E007152,7,1,3,2,Great care
S933286,E000745,3,4,3,1,Long wait time
S269813,E005953,2,4,4,2,Great care
S006615,E003773,7,3,4,3,Facilities need improvement
S749862,E001772,9,2,1,5,Doctor explained well
S826781,E003833,7,4,1,1,Great care
S659475,E001496,4,5,2,3,Long wait time
S651688,E004391,9,3,3,5,Nurse was helpful
S337255,E000223,1,3,3,2,Doctor explained well
S012354,E000778,9,2,3,3,
S256938,E003351,6,5,4,2,
S002427,E006969,3,5,5,4,Doctor explained well
S629196,E006138,9,3,2,2,
S348371,E002570,7,4,1,3,Great care
S119911,E001247,10,2,5,1,Doctor explained well
S385410,E000755,1,2,1,3,Long wait time
S027494,E003806,9,3,4,4,Facilities need improvement
S529537,E001962,8,4,3,4,Nurse was helpful
S189644,E002493,4,3,4,4,Long wait time
S316430,E007198,0,4,2,5,Nurse was helpful
S088526,E004308,4,1,5,1,Great care
S683356,E004849,6,2,5,2,Nurse was helpful
